asset_cd,asset_type,created_dt,life_cycle,location_d,maintained,modified_d,name,steward,wam_id,Shape_Length,Shape_Area
REN691,NATURAL CREEK OR STREAM,2009-09-09,ACTIVE,,CALGARY PARKS,,NOSE CREEK,CALGARY PARKS,N-30000047,1936.471043464104696,11511.647883681589519
AUB209,WETLAND,2009-09-09,ACTIVE,,CALGARY PARKS,2017-12-15,116WPA AUBURN BAY,CALGARY PARKS,N-30000043,342.290315463990112,6968.469214022302367
WIN092,NATURAL POND,2009-09-09,ACTIVE,FOX HOLLOW GOLF COURSE,CALGARY PARKS,,,CALGARY PARKS,N-30000059,295.603545612239145,5652.325998543169590
ST1018,WETLAND,2019-02-20,INSTALLED,,DEVELOPER CONSTRUCTION,2019-10-28,,CALGARY PARKS,N-51292821,937.380118945563595,10977.686639041816306
ASP001,WETLAND,2012-12-20,ACTIVE,,CALGARY PARKS,2015-01-20,,CALGARY PARKS,N-51037139,218.019096786305141,2133.565143624998655
EDG055,WETLAND,2009-09-09,ACTIVE,,CALGARY PARKS,,18WLA - EDGEMONT,CALGARY PARKS,N-30000102,242.390249410234418,2526.004047712193824
TAR004,WETLAND,2020-06-18,ACTIVE,,CALGARY PARKS SHARED,2020-06-18,,PROVINCE OF ALBERTA,N-51352275,223.487311235032450,2208.851863426074033
WIN800,WETLAND,2016-11-24,ACTIVE,,CALGARY PARKS SHARED,2016-11-29,135WPR,CALGARY WATER,N-51185715,421.992115924751545,9033.316542686712637
LIV001,WETLAND,2020-07-30,ACTIVE,,CALGARY PARKS,2020-08-27,,CALGARY PARKS,N-51353722,1005.321007440770018,20839.844382641258562
CPF882,WETLAND,2019-01-17,ACTIVE,,CALGARY PARKS SHARED,2019-01-17,111WPA,CALGARY WATER,N-51287658,997.165146883925104,43876.474464451064705
REN830,NATURAL CREEK OR STREAM,2009-09-09,ACTIVE,,CALGARY PARKS,,NOSE CREEK,CALGARY PARKS,N-30000071,2395.006123755189037,10261.661895107659802
AUB201,WETLAND,2009-09-09,ACTIVE,AUBURN BAY BV SE,CALGARY PARKS SHARED,2016-11-23,91WPA AUBURN BAY,CALGARY WATER,N-30000011,726.856948063990558,23982.097174805378017
CAP670,NATURAL CREEK OR STREAM,2009-09-09,ACTIVE,CONFEDERATION PARK,CALGARY PARKS,2012-01-23,CONFEDERATION PARK,CALGARY PARKS,N-30000090,2045.507351680632382,12225.962770296247982
BRI673,WETLAND,2009-09-09,ACTIVE,BRIDLEWOOD WETLAND,CALGARY PARKS,,21WLA BRIDLEWOOD,CALGARY PARKS,N-30000097,706.430870998519936,20771.959377895167563
EVN273,NATURAL POND,2009-09-09,ACTIVE,109 EVANSTON WY NW,CALGARY PARKS SHARED,2012-11-15,112WPA EVANSTON,CALGARY PARKS SHARED,N-30000033,262.734573875833519,4223.720955948487244
ACA194,NATURAL POND,2009-09-09,ACTIVE,W SIDE OF DEERFOOT TR; N OF SOUTHLAND DR,CALGARY PARKS,,,CALGARY ROADS,N-30000031,239.013778644208344,1579.981179018741159
WIN092,NATURAL CREEK OR STREAM,2009-09-09,ACTIVE,FOX HOLLOW GOLF COURSE,CALGARY PARKS,,NOSE CREEK,CALGARY PARKS,N-30000070,1585.955087236832242,6514.970691182096743
MCI091,NATURAL POND,2009-09-09,ACTIVE,MCCALL LAKE GOLF COURSE,CALGARY PARKS,,,CALGARY RECREATION,N-30000054,293.307735473164769,5240.229965370856917
OGD792,NATURAL POND,2009-09-09,ACTIVE,,CALGARY PARKS,2013-12-18,,CALGARY PARKS,N-30000003,496.763425633159613,3369.026617304223237
ROY389,NATURAL POND,2009-09-09,ACTIVE,10602 ROCKY RIDGE RD NW,CALGARY PARKS,,35WL ROYAL OAK,CALGARY PARKS,N-30000036,411.917398294305599,6282.451658144797875
EVN273,NATURAL POND,2009-09-09,ACTIVE,109 EVANSTON WY NW,CALGARY PARKS SHARED,2012-11-15,112WPA EVANSTON,CALGARY PARKS SHARED,N-30000035,636.178549644366171,15998.688065978751183
COL350,NATURAL POND,2009-09-09,ACTIVE,CONFEDERATION PARK GOLF COURSE,CALGARY PARKS AND OTHER BU,,,CALGARY RECREATION,N-30000072,210.219377689772301,2677.734539602541190
SVO864,WETLAND,2009-09-09,ACTIVE,,CALGARY PARKS SHARED,2011-10-26,115WPA SILVERADO POND A,CALGARY PARKS,N-30000040,658.585321014747251,21936.139133440294245
BRI449,WETLAND,2009-09-09,ACTIVE,BRIDLEWOOD WETLAND,CALGARY ROADS,,21WLA BRIDLEWOOD,CALGARY ROADS,N-30000094,508.491397376416899,4458.326907229826247
MOP671,NATURAL CREEK OR STREAM,2009-09-09,ACTIVE,CONFEDERATION PARK,CALGARY PARKS,2012-01-23,CONFEDERATION,CALGARY PARKS,N-30000091,1237.636214137293337,2409.723978326936049
NEB842,WETLAND,2009-09-09,ACTIVE,MCIVOR BV SE,CALGARY PARKS SHARED,2012-11-28,113WPA NEW BRIGHTON,CALGARY PARKS,N-30000038,1114.221225596677414,26796.384415349253686
ROC001,NATURAL POND,2012-02-21,ACTIVE,,CALGARY PARKS,2016-09-27,,CALGARY PARKS,N-51005680,176.655095760333808,1214.725447363392732
ABP799,NATURAL CREEK OR STREAM,2009-09-09,ACTIVE,BETWEEN NOSE CREEK AND CENTRE ST,CALGARY PARKS,2016-05-30,WEST NOSE CREEK,CALGARY PARKS,N-30000014,59.335146706862233,7.368884682236375
CPF864,WETLAND,2009-09-09,ACTIVE,,CALGARY PARKS SHARED,2012-10-23,55WPA COPPERFIELD 2,CALGARY PARKS,N-30000045,790.590985208709071,18402.170844345666410
EDG055,WETLAND,2009-09-09,ACTIVE,,CALGARY PARKS,,18WLA - EDGEMONT,CALGARY PARKS,N-30000103,341.072318409262380,3079.552885624687406
ESH001,WETLAND,2016-05-03,ACTIVE,,CALGARY PARKS SHARED,2019-03-05,187WPA,RE&DS,N-51131243,897.974680821787615,38042.146864929534786
ST1009,WETLAND,2012-08-17,ACTIVE,,DEVELOPER CONSTRUCTION,2015-12-01,,CALGARY PARKS,N-51023414,749.852179498257101,25613.671745707222726
COU747,NATURAL CREEK OR STREAM,2009-09-09,ACTIVE,BETWEEN NOSE CREEK AND CENTRE ST,CALGARY ROADS,,WEST NOSE CREEK,CALGARY ROADS,N-30000065,43.148375338493622,78.934446537841026
ESH907,WETLAND,2009-09-09,ACTIVE,,CALGARY PARKS SHARED,2019-01-29,102WLA EASTLAKE INDUSTRIAL,CALGARY WATER,N-30000039,1848.853124203813195,42246.107533181704639
GPK704,NATURAL POND,2011-06-15,ACTIVE,,CALGARY PARKS SHARED,2016-06-09,,CALGARY PARKS,N-50880402,929.751386182141346,3257.584260776967767
BRI673,NATURAL POND,2009-09-09,ACTIVE,BRIDLEWOOD WETLAND,CALGARY PARKS,2012-01-23,BRIDLEWOOD WETLAND,CALGARY PARKS,N-30000098,165.069824617228875,827.280347946757274
GPK120,NATURAL RIVER,2009-09-09,ACTIVE,WEASELHEAD,CALGARY PARKS AND OTHER BU,,ELBOW RIVER,CALGARY PARKS,N-30000074,1379.523703887106876,12298.478834628574987
NEB844,WETLAND,2009-09-09,ACTIVE,,CALGARY PARKS,2011-09-28,56WPA - NEW BRIGHTON,CALGARY PARKS,N-30000105,734.380645177811402,28142.666596216437028
NPK454,WETLAND,2009-09-09,ACTIVE,JOHN LAURIE BV AND SHAGANAPPI TR NW,CALGARY PARKS,2010-02-26,17WPA NOSE HILL PARK,CALGARY PARKS,N-30000001,239.715968975807840,2579.841858905301706
HUN588,SPRING,2009-09-09,ACTIVE,7625 7 ST NW,CALGARY PARKS,,,CALGARY PARKS,N-30000021,47.928948727890798,64.011562645513223
GPK120,OXBOW,2009-09-09,ACTIVE,WEASELHEAD,CALGARY PARKS,2017-03-23,,CALGARY PARKS,N-30000027,1284.455396379320064,14388.070474094576639
WIN800,OXBOW,2009-09-09,ACTIVE,CALGARY ELKS LODGE AND GOLF COURSE,CALGARY PARKS,2012-12-13,,CALGARY PARKS,N-30000060,462.466901258391772,4512.641831677171467
HID241,OXBOW,2009-09-09,ACTIVE,HIDDEN CREEK GR NW,CALGARY PARKS,2018-05-24,,CALGARY PARKS,N-30000016,115.598765411095854,355.021157078259250
CRA131,WETLAND,2009-09-09,ACTIVE,,CALGARY PARKS SHARED,2019-01-17,100WPA CRANSTON,CALGARY WATER,N-30000042,976.930017557836436,20290.424005215780198
WIN092,NATURAL POND,2009-09-09,ACTIVE,FOX HOLLOW GOLF COURSE,CALGARY PARKS,,,CALGARY PARKS,N-30000061,170.067331259071125,1619.944004708924695
WSP033,NATURAL POND,2010-03-24,INSTALLED,,DEVELOPER CONSTRUCTION,2012-01-06,,CALGARY PARKS,N-50728587,408.983061647653130,7541.842827291769026
BOW220,NATURAL RIVER,2009-09-09,ACTIVE,,CALGARY PARKS,2019-04-23,BOWNESS LAGOON,CALGARY PARKS,N-30000122,981.468862992584832,5893.487393149486707
ROC199,NATURAL POND,2009-09-09,ACTIVE,77 ROCKBOROUGH PA NW,CALGARY PARKS,,76WPA POND B,CALGARY PARKS,N-30000024,151.338170066853166,1324.737996962938723
SKR015,WETLAND,2020-08-24,ACTIVE,,CALGARY PARKS,2020-10-21,,OUTSIDE AGENCY,N-51361272,410.604358532563936,6325.705344048759798
RIV840,NATURAL LAKE,2009-09-09,ACTIVE,CARBURN PARK,CALGARY PARKS,2020-02-10,CARBURN LAGOON,CALGARY PARKS,N-30000010,1075.895809546958390,45393.844697197266214
HID239,WETLAND,2009-09-09,ACTIVE,,CALGARY PARKS,,30WLA HANSON RANCH,CALGARY PARKS,N-30000121,993.897368669981233,14503.211070586607093
DIS100,WETLAND,2009-09-09,ACTIVE,,CALGARY PARKS,,39WPA DISCOVERY RIDGE,CALGARY PARKS,N-30000095,855.540266227189704,17853.303330483639002
