Park_Quality_Index,site_name,Park_Type,Shape_Area,Park_Area_Log,Park_Area_MIN_MAX,Sports_Surface_Count,Sports_Log,Sports_MIN_MAX,Combined_Amenities_Count,Combined_Amenities_Count_Log,Combined_Amenities_MIN_MAX,Transit_Stop_Count_350m,Transit_Score,Water_Body_Count,Water_Body_Score,Path_Count_NonZero,Park_Path_Length,Pathway_Score
0.2334312,,SUBNEIGHBOURHOOD PARK,22625.743528031303867,4.354622054194531,0.334311790677096,0,0.000000000000000,0.000000000000000,0,0.000000000000000,0.000000000000000,5,1.0000000,0,0.0000000,0.0000000,,0.0000000
0.2333476,,SUBNEIGHBOURHOOD PARK,1722.253094898023846,3.236349067143550,0.058210701867088,0,0.000000000000000,0.000000000000000,1,0.301029995663981,0.110106098837036,14,1.0000000,0,0.0000000,0.0000000,,0.0000000
0.2333338,,SUBNEIGHBOURHOOD PARK,1720.043076713755909,3.235791740603537,0.058073098199377,0,0.000000000000000,0.000000000000000,1,0.301029995663981,0.110106098837036,12,1.0000000,0,0.0000000,0.0000000,,0.0000000
0.2332628,,SUBNEIGHBOURHOOD PARK,1708.680417127431838,3.232914937263942,0.057362816771182,0,0.000000000000000,0.000000000000000,1,0.301029995663981,0.110106098837036,5,1.0000000,0,0.0000000,0.0000000,,0.0000000
0.2330172,,SUBNEIGHBOURHOOD PARK,1669.969776538521046,3.222968594716102,0.054907069347310,0,0.000000000000000,0.000000000000000,1,0.301029995663981,0.110106098837036,4,1.0000000,0,0.0000000,0.0000000,,0.0000000
0.2329415,,SUBNEIGHBOURHOOD PARK,21615.650232630465325,4.334788395528627,0.329414869427856,0,0.000000000000000,0.000000000000000,0,0.000000000000000,0.000000000000000,14,1.0000000,0,0.0000000,0.0000000,,0.0000000
0.2328995,SCENIC ACRES SPORTS ARENA,NON-PARK,21531.244948561430647,4.333089311660253,0.328995366398211,0,0.000000000000000,0.000000000000000,0,0.000000000000000,0.000000000000000,17,1.0000000,0,0.0000000,0.0000000,,0.0000000
0.2327368,,SUBNEIGHBOURHOOD PARK,1626.838924194777292,3.211611428935076,0.052102990312721,0,0.000000000000000,0.000000000000000,1,0.301029995663981,0.110106098837036,9,1.0000000,0,0.0000000,0.0000000,,0.0000000
0.2325398,LIVINGSTON GREENWAY,REGIONAL PARK,20820.854557256618136,4.318519408561317,0.325398063989896,0,0.000000000000000,0.000000000000000,0,0.000000000000000,0.000000000000000,0,0.0000000,0,0.0000000,17.0000000,125.7948685,1.0000000
0.2324046,,SUBNEIGHBOURHOOD PARK,1577.181833108797491,3.198157039789953,0.048781107789171,0,0.000000000000000,0.000000000000000,1,0.301029995663981,0.110106098837036,7,1.0000000,0,0.0000000,0.0000000,,0.0000000
