teleride_n,stop_name,status,date_creat,time_creat,date_mod_d,time_mod_d,globalid
5166.000000000000000,SB Centre ST N @ Bergen RD N,ACTIVE,2024-09-29 0:00:00,22:07:51.000,2024-09-29 0:00:00,22:07:51.000,48fe9f1f-9a50-45c3-b72f-12687e1392a4
7586.000000000000000,SB Ogden RD @ 80 AV SE,ACTIVE,2024-09-29 0:00:00,22:07:51.000,2024-09-29 0:00:00,22:07:51.000,ba664554-a9ea-4552-8ef6-263b544337c1
6349.000000000000000,NB Crowchild TR @ Kensington RD NW,ACTIVE,2024-09-29 0:00:00,22:07:51.000,2024-09-29 0:00:00,22:07:51.000,3abd3366-9ca7-4dd6-ba88-7badd71ab4dd
9642.000000000000000,McKnight-Westwinds LRT Station,ACTIVE,2024-09-29 0:00:00,22:07:51.000,2024-09-29 0:00:00,22:07:51.000,5ed4b7e0-fc37-476c-9cd4-b715ed5faa46
2598.000000000000000,WB 50 AV SE @ 30 St SE.,ACTIVE,2024-09-29 0:00:00,22:07:51.000,2024-09-29 0:00:00,22:07:51.000,dd8a4598-119a-4174-af6c-14bb3c7dcbe5
4521.000000000000000,NB 20A ST SE @ Lynndale RD,ACTIVE,2024-09-29 0:00:00,22:07:51.000,2024-09-29 0:00:00,22:07:51.000,4f2c2aab-7f85-4494-bc07-0024e28950f1
9269.000000000000000,SB Strathcona BV @ Bow TR SW,ACTIVE,2024-09-29 0:00:00,22:07:51.000,2024-09-29 0:00:00,22:07:51.000,7073c0a2-4324-4d44-a22c-bd9e5956f1e8
9185.000000000000000,SB Crowchild TR @ 54 AV SW,ACTIVE,2024-09-29 0:00:00,22:07:51.000,2024-09-29 0:00:00,22:07:51.000,c2b25d51-a605-4f18-8743-67e0ff4fc86f
4865.000000000000000,NB 4 ST NW @ 20 AV NW,ACTIVE,2024-09-29 0:00:00,22:07:51.000,2024-09-29 0:00:00,22:07:51.000,daa40776-28ec-489a-9da4-611e51cf82bb
6617.000000000000000,EB 26 AV NE @ 38 ST NE,ACTIVE,2024-09-29 0:00:00,22:07:51.000,2024-09-29 0:00:00,22:07:51.000,b981beee-8cad-4860-959f-8be1e9dcf51a
3536.000000000000000,WB Royal Oak DR NW @ Royal Elm DR NW,ACTIVE,2024-09-29 0:00:00,22:07:51.000,2024-09-29 0:00:00,22:07:51.000,65445b01-03f6-4d5a-8993-381f6918741b
5405.000000000000000,SB 23 ST NW@ 2 AV NW,ACTIVE,2024-09-29 0:00:00,22:07:51.000,2024-09-29 0:00:00,22:07:51.000,810ef3f1-f7fd-45be-a95f-b387208442a0
6528.000000000000000,WB Richmond RD @ 48 ST SW,ACTIVE,2024-09-29 0:00:00,22:07:51.000,2024-09-29 0:00:00,22:07:51.000,3f893fbb-eae3-4acb-a7bf-639d58347ce1
5071.000000000000000,WB Pensacola WY @ Pennsburg DR SE,ACTIVE,2024-09-29 0:00:00,22:07:51.000,2024-09-29 0:00:00,22:07:51.000,b6907de6-21a2-4c62-9517-354ce3a955e7
5594.000000000000000,EB 25 AV SW @ 4 ST SW,ACTIVE,2024-09-29 0:00:00,22:07:51.000,2024-09-29 0:00:00,22:07:51.000,dd5d33e3-aaa6-465c-9766-5cdc72da8374
7325.000000000000000,EB Sandarac DR @ Sandalwood GA NW,ACTIVE,2024-09-29 0:00:00,22:07:51.000,2024-09-29 0:00:00,22:07:51.000,77fd903c-2f9d-466f-bfea-f9854cd1a847
4003.000000000000000,Dalhousie LRT Station NB,ACTIVE,2024-09-29 0:00:00,22:07:51.000,2024-09-29 0:00:00,22:07:51.000,6f121e56-bbc3-4609-be5a-0d98be35125d
7484.000000000000000,WB 34 AV NW @ 71 ST NW,ACTIVE,2024-09-29 0:00:00,22:07:51.000,2024-09-29 0:00:00,22:07:51.000,6f86555c-f0bc-4df0-aa40-7c2fc2e9bcb3
6247.000000000000000,WB Chaparral DR @ Chaparral ST SE,ACTIVE,2024-09-29 0:00:00,22:07:51.000,2024-09-29 0:00:00,22:07:51.000,e1ccb277-9c8c-4ad0-ade6-089e3420c099
2877.000000000000000,NB 4A ST @ 69 AV SW,ACTIVE,2024-09-29 0:00:00,22:07:51.000,2024-09-29 0:00:00,22:07:51.000,5ce7968b-873e-482f-8a8c-584a92d5197a
2195.000000000000000,EB Sage Hill BV @ Sage Hill PS NW,ACTIVE,2024-09-29 0:00:00,22:07:51.000,2024-09-29 0:00:00,22:07:51.000,e0d51ed6-730b-47a5-8e9d-d80d53fed817
4243.000000000000000,EB Oakwood DR @ Oakmount WY SW,ACTIVE,2024-09-29 0:00:00,22:07:51.000,2024-09-29 0:00:00,22:07:51.000,db7b1206-002c-44f8-810f-b6afef2b24f3
6732.000000000000000,NB Nose Hill DR @ Silver Springs RD NW,ACTIVE,2024-09-29 0:00:00,22:07:51.000,2024-09-29 0:00:00,22:07:51.000,e7aefd33-b744-4c22-9fb9-af2b13d1c38f
2823.000000000000000,WB 76 AV SE @ 62 ST SE,ACTIVE,2024-09-29 0:00:00,22:07:51.000,2024-09-29 0:00:00,22:07:51.000,8b15821f-e163-4d48-9b48-8ef6ec75c7d5
6990.000000000000000,NB Hidden Valley DR @ Hidden Vale CR NW,ACTIVE,2024-09-29 0:00:00,22:07:51.000,2024-09-29 0:00:00,22:07:51.000,7c92db79-121a-450d-9078-ceb21329257a
5675.000000000000000,EB Regal CR @ Russet RD NE,ACTIVE,2024-09-29 0:00:00,22:07:51.000,2024-09-29 0:00:00,22:07:51.000,f2de8ec4-d780-4649-8d15-b99c4330c57a
3609.000000000000000,NB Cranarch RD @ Cranford DR SE,ACTIVE,2024-09-29 0:00:00,22:07:51.000,2024-09-29 0:00:00,22:07:51.000,245e303d-4353-492d-9917-c5aa9cf89bbd
6621.000000000000000,EB 20 AV NW @ 14 ST NW,ACTIVE,2024-09-29 0:00:00,22:07:51.000,2024-09-29 0:00:00,22:07:51.000,aa72edfe-8be0-4235-a0b5-fa54c14cd3b0
6790.000000000000000,WB 17 AV SW @ Costello BV,ACTIVE,2024-09-29 0:00:00,22:07:51.000,2024-09-29 0:00:00,22:07:51.000,43353aa7-b3c5-4066-835f-e85d398e51d7
9166.000000000000000,SB Lake Bonavista DR @ Lake Louise WY SE,ACTIVE,2024-09-29 0:00:00,22:07:51.000,2024-09-29 0:00:00,22:07:51.000,13e0b3e0-22b3-433d-96ac-05a0e920b39b
5886.000000000000000,WB 14 AV SE @ 27 ST SE,ACTIVE,2024-09-29 0:00:00,22:07:51.000,2024-09-29 0:00:00,22:07:51.000,509c5c20-0f07-4653-ad4b-31ad039a5276
7904.000000000000000,EB 44 AV NE @ Whiterige WY,ACTIVE,2024-09-29 0:00:00,22:07:51.000,2024-09-29 0:00:00,22:07:51.000,f18d29fe-11ec-4e77-8ce4-bfc366b3cee0
8868.000000000000000,Martindale LRT Station NB (Martindale BV),ACTIVE,2024-09-29 0:00:00,22:07:51.000,2024-09-29 0:00:00,22:07:51.000,ee452aca-d875-4f6b-acaf-83ad7820807c
4675.000000000000000,SB 17 ST SE @ 24 AV SE,ACTIVE,2024-09-29 0:00:00,22:07:51.000,2024-09-29 0:00:00,22:07:51.000,a94204e7-e608-461f-b282-4258631a0da5
8969.000000000000000,NB 10 ST NW @ 20 AV NW,ACTIVE,2024-09-29 0:00:00,22:07:51.000,2024-09-29 0:00:00,22:07:51.000,636039a0-f925-4ba8-b968-c8389fa3ffe0
5260.000000000000000,NB 4 ST NE @ McKnight BV,ACTIVE,2024-09-29 0:00:00,22:07:51.000,2024-09-29 0:00:00,22:07:51.000,b1a20d93-01ae-43cb-b659-ef898d1f92d1
6173.000000000000000,EB Southland DR @ Southport RD SW,ACTIVE,2024-09-29 0:00:00,22:07:51.000,2024-09-29 0:00:00,22:07:51.000,64c8cf17-34a5-4fff-918b-9ec82287194e
7934.000000000000000,WB 17 AV SW @ 8 ST SW,ACTIVE,2024-09-29 0:00:00,22:07:51.000,2024-09-29 0:00:00,22:07:51.000,e2e5ad51-4788-4176-bd61-291df25423c0
5703.000000000000000,Centre Street N Station (EB),ACTIVE,2024-09-29 0:00:00,22:07:51.000,2024-09-29 0:00:00,22:07:51.000,aa73e442-2d4d-46f9-a897-0a9766614565
2453.000000000000000,NB Seton WY @ Seton AV SE,ACTIVE,2024-09-29 0:00:00,22:07:51.000,2024-09-29 0:00:00,22:07:51.000,b5bb9ecb-1e23-4413-a4b5-aaeb4ba137ba
4880.000000000000000,SB 4 ST NW @ Thornhill PL,ACTIVE,2024-09-29 0:00:00,22:07:51.000,2024-09-29 0:00:00,22:07:51.000,0e92ae6d-7fe0-4b0e-a18b-d65c1b60e27e
