asset_type,material,number_cou,Shape_Length,Shape_Area
BALL DIAMOND OUTFIELD,MOWED TURF,,249.704474318758315,3087.763771488392194
BALL DIAMOND OUTFIELD,MOWED TURF,,326.558640713995658,4917.592542396145291
BALL DIAMOND OUTFIELD,MOWED TURF,,271.897955227545253,3572.469926873035547
BALL DIAMOND OUTFIELD,MOWED TURF,,266.121047982563482,3442.276198759821909
BALL DIAMOND OUTFIELD,MOWED TURF,,333.093056717497461,3690.647302230282094
BALL DIAMOND OUTFIELD,MOWED TURF,,357.013895905952893,6691.006916080386873
BALL DIAMOND OUTFIELD,MOWED TURF,,262.632573366853990,3331.523801351609563
BALL DIAMOND OUTFIELD,MOWED TURF,,334.252759941696922,5381.317889743713749
BALL DIAMOND OUTFIELD,MOWED TURF,,240.700670182546787,2494.524431042830656
SOCCER,MOWED TURF,,287.891364714124677,4762.382121286280380
SOCCER,MOWED TURF,,340.937340410712636,7038.635592737645311
BALL DIAMOND INFIELD,MOWED TURF,,61.490682213044444,264.329691198526859
BALL DIAMOND OUTFIELD,MOWED TURF,,236.681052412503647,2844.845236320026743
BALL DIAMOND OUTFIELD,MOWED TURF,,262.022012739537104,2948.234811956880549
BALL DIAMOND OUTFIELD,MOWED TURF,,309.593211471630127,5194.043263896815006
BALL DIAMOND OUTFIELD,MOWED TURF,,286.746807777016272,3785.147650602981230
PRACTICE AREA - WARM UP AREA,ASPHALT,,54.686429811868003,184.216579115879540
ICE AREA,MOWED TURF,,140.891122022117543,1159.387748408043763
BALL DIAMOND OUTFIELD,MOWED TURF,,255.927093769224086,1937.521433727811427
BALL DIAMOND INFIELD,MOWED TURF,,111.228491824294736,891.477527905252941
